CountryCode,Year,T0-4,T5-9,T10-14,T15-19,T20-24,T25-29,T30-34,T35-39,T40-44,T45-49,T50-54,T55-59,T60-64,T65-69,T70-74,T75+,TTotal,M0-4,M5-9,M10-14,M15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75+,MTotal,F0-4,F5-9,F10-14,F15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75+,FTotal
AGO,1990,0.055854925,0.125608323,0.230991056,0.340961414,0.40187581,0.416379211,0.430237737,0.376949192,0.468081752,0.516976225,0.545815249,0.478693297,0.47456765,0.418442247,0.431715392,0.411692603,0.275374132,0.055010324,0.122238658,0.221332535,0.32068736,0.384664167,0.444643333,0.523835667,0.493629244,0.618312134,0.689139473,0.736258265,0.660394506,0.651287149,0.588235294,0.575683144,0.497279979,0.304853714,0.056685285,0.128890873,0.240432804,0.360778772,0.418542528,0.389358298,0.341460769,0.26687336,0.324842512,0.355390368,0.370918926,0.319418522,0.332783278,0.287513012,0.32621534,0.354837994,0.247171156
AIA,2015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.43754705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.42035012,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.0628264,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,2010,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.061515,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,2000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.70280036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,1995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.84003265,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AIA,1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.837533,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ALB,2000,3.100235693,2.560093805,2.198672054,2.373525871,2.708185754,2.972802606,2.88756693,2.54535433,2.229528934,1.887132979,1.707853722,1.472138031,1.314079822,1.774908758,3.021853215,4.291356941,2.456621941,2.689337535,2.279376421,1.960886965,1.988788417,2.196346395,2.953115681,2.799075323,2.764154765,2.538606672,2.034691923,1.720348518,1.417016177,1.319754754,1.631638418,2.728953222,3.406963684,2.28127579,3.54171318,2.857646075,2.443941749,2.747136263,3.182409135,2.990906445,2.969977402,2.326942274,1.894581787,1.720765585,1.693165711,1.538240368,1.307575668,1.933978829,3.314847887,4.88835799,2.635755492
ALB,1995,1.733087743,1.634443459,1.74651934,1.954066443,2.496435315,2.949708388,3.152685701,3.497034041,3.395136463,2.818120543,1.980190447,1.52916279,1.460513204,1.495595947,2.534160559,3.042854634,2.296751317,1.84444806,1.768497665,1.89862435,2.131451764,2.817070151,3.311258278,3.284993116,3.266909851,2.628168639,1.785455913,1.249511322,1.070924715,0.939545785,0.873496284,1.755447942,2.028795812,2.176514516,1.615059102,1.494473922,1.587698306,1.772618641,2.197515787,2.63622963,3.036693039,3.702639612,4.091939353,3.811830876,2.736655303,2.013138736,2.011058688,2.113676732,3.130170075,3.726479812,2.413335151
ALB,2005,4.289921242,3.240350004,2.333783063,1.837287771,2.281118037,2.197168327,2.068313627,1.640927116,1.247822134,0.995843436,1.015807928,1.005994878,0.97637364,1.459345385,2.795931202,3.853473419,2.102476017,4.141578878,3.18140637,2.290613564,1.710053577,2.141769582,2.47395246,2.238179927,2.006447825,1.589558728,1.178805725,1.134450058,1.066710429,1.041369924,1.483639965,2.754754433,3.490972999,2.13684126,4.44928497,3.303579438,2.379219976,1.965375877,2.407384691,1.956555834,1.913132345,1.305838031,0.913513082,0.800572832,0.884281889,0.93568918,0.899877035,1.43274244,2.838738462,4.119265518,2.067911609
ALB,1990,0.841199198,0.974553943,1.253677303,1.506495943,2.108781505,2.333866731,3.201524831,4.164015794,4.156630567,3.051535992,2.026336405,1.759046927,1.530017,1.358874864,1.64420115,1.778005528,2.011699692,0.900239298,1.051896877,1.357767694,1.628040022,2.257223564,2.402161551,3.090482502,3.651596737,3.004699293,1.826460459,1.241896102,1.200195381,0.982222411,0.860264294,1.074729227,1.139464562,1.819488682,0.778449791,0.892261995,1.142703963,1.378081875,1.952993694,2.262685218,3.316437136,4.692602934,5.386906648,4.424369444,2.916859159,2.4004004,2.132524498,1.799070144,2.147715511,2.24248927,2.2134975
ALB,2010,5.39636372,4.156209544,2.572405043,1.68409894,1.906334077,1.201372709,1.215103976,0.757749842,0.653044808,0.50808798,0.594306533,0.610074203,0.689481868,1.249702452,2.17678672,3.057553957,1.795053604,5.253142977,4.105317704,2.537342962,1.534478446,1.682563087,1.322682169,1.367749897,0.946416967,0.86854538,0.63605127,0.696569816,0.695819014,0.793074128,1.31930378,2.209968552,2.660253264,1.823308334,5.55321429,4.212032418,2.610273377,1.847985429,2.145619668,1.087892306,1.081718618,0.587501466,0.455476881,0.383480271,0.489371464,0.522449182,0.582545965,1.177020958,2.143246484,3.387151958,1.766610562
ALB,2017,5.391844222,4.446632783,3.034004829,2.001739894,1.976165781,2.19084383,2.100613186,1.6876903,1.241589191,0.9103977,0.635017956,0.498227138,0.508935554,0.588048445,0.561625246,0.397705968,1.791148483,5.424909385,4.482161582,3.017623799,2.083051192,2.082309874,2.007199645,2.081480996,1.819149502,1.338202273,0.941068777,0.537596872,0.32746861,0.356692997,0.491184698,0.427101923,0.306752593,1.806522709,5.356203919,4.407746385,3.051760723,1.917512757,1.854242033,2.430823196,2.121307513,1.566103566,1.15399265,0.882505624,0.727873962,0.666228233,0.658648671,0.685255584,0.693003406,0.474276982,1.775491287
ALB,2015,5.544786155,4.454435284,3.402415935,2.164090178,1.958920839,2.326996864,1.332495527,1.17590062,0.825477978,0.679949236,0.502745223,0.528214635,0.553782132,0.635180012,1.004938058,1.011567493,1.779840402,5.370803708,4.349449094,3.317876875,1.986376,1.588872263,2.184821242,1.3937046,1.440814258,1.095580747,0.867602,0.600290188,0.605278428,0.643061804,0.667360028,1.028730125,0.84079237,1.796706614,5.731208608,4.568834304,3.492932731,2.349157634,2.414917768,2.507148298,1.272462914,0.933268761,0.580225587,0.506818745,0.407835611,0.451733963,0.465062352,0.60211989,0.98189745,1.155911645,1.762641046
AND,1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.37170009,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
